曲名,アーティスト,アルバム,再生時間,ビットレート(kbps),サンプリングレート(Hz),ファイルサイズ(MB),拡張子,ファイルパス
Scene - Imminent Calamity,Etrian Odyssey 4 Soundtrack,,0:45,192,44100,1.2,.mp3,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Scene - Imminent Calamity.mp3
Scene - The Ancient Oath,Etrian Odyssey 4 Soundtrack,,1:35,192,44100,2.3,.mp3,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Scene - The Ancient Oath.mp3
Scene - The Silent Wind Blows,Etrian Odyssey 4 Soundtrack,,1:00,192,44100,1.5,.mp3,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Scene - The Silent Wind Blows.mp3
The Relentless Melody,Etrian Odyssey 4 Soundtrack,,6:56,192,44100,9.7,.mp3,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - The Relentless Melody.mp3
Town - A Town Embraced by the Azure Sky,Etrian Odyssey 4 Soundtrack,,2:25,192,44100,3.5,.mp3,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Town - A Town Embraced by the Azure Sky.mp3
Town - Engraved are the Names that Will Resound Tomorrow,Etrian Odyssey 4 Soundtrack,,1:55,192,44100,2.8,.mp3,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Town - Engraved are the Names that Will Resound Tomorrow.mp3
Town - Margarita's Afternoon,Etrian Odyssey 4 Soundtrack,,0:43,192,44100,1.1,.mp3,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Town - Margarita's Afternoon.mp3
,,,5:41,128,44100,5.3,.mp3,E:\MUSIC\5 Ytube music 2021~ music preference\Last Train Home.mp3
,,,2:27,128,44100,2.3,.mp3,E:\MUSIC\5 Ytube music 2021~ music preference\The Coasters   Sh Boom Life Could Be A Dream.mp3
,,,9:23,128,44100,8.7,.mp3,E:\MUSIC\5 Ytube music 2021~ music preference\[Reupload]【東方ボーカル】 「Fall In The Dark」 【ShibayanRecords】【Subbed】.mp3
,,,15:00,128,44100,13.8,.mp3,E:\MUSIC\5 Ytube music 2021~ music preference\【スマブラ】MUTE CITY（スマブラXver）【15分耐久】.mp3
,,,2:15,128,44100,2.1,.mp3,E:\MUSIC\5 Ytube music 2021~ music preference\【神曲イース8 BGM】14 - LOST IN GREEN.mp3
,,,3:58,128,44100,3.7,.mp3,E:\MUSIC\5 Ytube music 2021~ music preference\Circle-Vision 2 - Tokyo Disneyland Tomorrowland.mp3
,,,4:41,128,44100,4.4,.mp3,E:\MUSIC\5 Ytube music 2021~ music preference\Euclase.mp3
,,,3:55,128,44100,3.6,.mp3,E:\MUSIC\5 Ytube music 2021~ music preference\Mariah Carey - All I Want For Christmas Is You (Official Video).mp3
,,,7:17,128,44100,6.7,.mp3,E:\MUSIC\5 Ytube music 2021~ music preference\Moon Over The Castle (GT7 Full Version).mp3
,,,5:46,128,44100,5.4,.mp3,E:\MUSIC\5 Ytube music 2021~ music preference\シーモアバトル.mp3
,,,5:00,128,44100,4.6,.mp3,E:\MUSIC\5 Ytube music 2021~ music preference\ずっと真夜中でいいのに。『マイノリティ脈絡』 (ZUTOMAYO - Minority Myakuraku)（Audio Track）.mp3
,,,1:57,128,44100,1.9,.mp3,E:\MUSIC\5 Ytube music 2021~ music preference\放課後の音楽室 2006.mp3
,,,5:26,128,44100,5.1,.mp3,E:\MUSIC\5 Ytube music 2021~ music preference\Steve Jablonsky - Arrival To Earth (Official Audio).mp3
,,,3:36,128,44100,3.4,.mp3,E:\MUSIC\5 Ytube music 2021~ music preference\いきものがかり 『ブルーバード』Music Video.mp3
,,,4:51,128,44100,4.5,.mp3,E:\MUSIC\5 Ytube music 2021~ music preference\プリンセス プリンセス　『Diamonds ＜ダイアモンド＞』.mp3
,,,4:01,128,44100,3.7,.mp3,E:\MUSIC\5 Ytube music 2021~ music preference\King Gnu - SPECIALZ.mp3
,,,4:31,128,44100,4.2,.mp3,E:\MUSIC\5 Ytube music 2021~ music preference\Neon Genesis Evangelion - Fly me to the moon..mp3
,,,3:53,128,44100,3.6,.mp3,E:\MUSIC\5 Ytube music 2021~ music preference\SEKAI NO OWARI「最高到達点」.mp3
,,,5:27,128,44100,5.1,.mp3,E:\MUSIC\5 Ytube music 2021~ music preference\Stay With Me (Extended Version).mp3
,,,5:05,128,44100,4.7,.mp3,E:\MUSIC\5 Ytube music 2021~ music preference\This is The Dream (1145) [Unused track] by Shiro SAGISU ― Evangelion 3.0+1.0 OST.【TH   ENG Lyrics】.mp3
,,,4:29,128,44100,4.2,.mp3,E:\MUSIC\5 Ytube music 2021~ music preference\いきものがかり 『気まぐれロマンティック』Music Video.mp3
,,,4:59,128,44100,4.6,.mp3,E:\MUSIC\5 Ytube music 2021~ music preference\ヘッドライト・テールライト.mp3
,,,3:20,128,44100,3.1,.mp3,E:\MUSIC\5 Ytube music 2021~ music preference\山口百恵　ささやかな欲望.mp3
,,,5:00,128,44100,4.6,.mp3,E:\MUSIC\5 Ytube music 2021~ music preference\Pokémon Omega Ruby   Alpha Sapphire - Zinnia Battle Music (HQ).mp3
,,,4:13,128,44100,3.9,.mp3,E:\MUSIC\5 Ytube music 2021~ music preference\Fight For Liberty.mp3
,,,4:16,128,44100,4.0,.mp3,E:\MUSIC\5 Ytube music 2021~ music preference\山口百恵　いい日旅立ち.mp3
Procession,Queen,Queen II,1:12,4615,96000,41.6,.flac,E:\MUSIC\Queen II\01-Procession.flac
Father To Son,Queen,Queen II,6:13,4615,96000,207.6,.flac,E:\MUSIC\Queen II\02-Father To Son.flac
White Queen (As It Began),Queen,Queen II,4:35,4615,96000,153.6,.flac,E:\MUSIC\Queen II\03-White Queen (As It Began).flac
Some Day One Day,Queen,Queen II,4:22,4615,96000,146.1,.flac,E:\MUSIC\Queen II\04-Some Day One Day.flac
The Loser In The End,Queen,Queen II,4:06,4615,96000,137.3,.flac,E:\MUSIC\Queen II\05-The Loser In The End.flac
Ogre Battle,Queen,Queen II,4:08,4615,96000,138.6,.flac,E:\MUSIC\Queen II\06-Ogre Battle.flac
The Fairy Feller's Master-Stroke,Queen,Queen II,2:40,4615,96000,90.5,.flac,E:\MUSIC\Queen II\07-The Fairy Feller's Master-Stroke.flac
Nevermore,Queen,Queen II,1:18,4615,96000,45.2,.flac,E:\MUSIC\Queen II\08-Nevermore.flac
The March Of The Black Queen (2011 Mix),Queen,Queen II,6:32,4615,96000,218.1,.flac,E:\MUSIC\Queen II\09-The March Of The Black Queen (2011 Mix).flac
Funny How Love Is,Queen,Queen II,2:51,4615,96000,96.1,.flac,E:\MUSIC\Queen II\10-Funny How Love Is.flac
Seven Seas Of Rhye,Queen,Queen II,2:46,4615,96000,93.7,.flac,E:\MUSIC\Queen II\11-Seven Seas Of Rhye.flac
"【東方原曲】永夜抄「月まで届け、不死の煙」(Reach for the Moon, Immortal Smoke)【高音質】.mp4",,,5:46,192,44100,8.0,.mp3,E:\MUSIC\4 Ytube  2020 music preference\月まで届け、不死の煙.mp3
悠悠華夏韻,【中國風】極致中國風,,71:38,192,44100,98.5,.mp3,E:\MUSIC\4 Ytube  2020 music preference\悠悠華夏韻.mp3
【東方原曲】風神録「ネイティブフェイス」(Native Faith) 【高音質】.mp4,,,4:56,192,44100,6.9,.mp3,E:\MUSIC\4 Ytube  2020 music preference\ネイティブフェイス.mp3
One Piece opening 6 Full HD,,,3:57,192,44100,5.5,.mp3,E:\MUSIC\4 Ytube  2020 music preference\One Piece opening 6 Full HD.mp3
東方アレンジ          「東方音銃夢」,,,2:04,192,44100,2.9,.mp3,E:\MUSIC\4 Ytube  2020 music preference\東方アレンジ          「東方音銃夢」.mp3
Come Alive,The Greatest Showman Cast,,3:46,192,44100,5.3,.mp3,E:\MUSIC\4 Ytube  2020 music preference\The Greatest Showman Cast - Come Alive.mp3
This Is Me,The Greatest Showman Cast,,3:54,192,44100,5.5,.mp3,E:\MUSIC\4 Ytube  2020 music preference\The Greatest Showman Cast - This Is Me.mp3
When You Wish Upon A Star,Lexi Walker,,4:12,192,44100,5.9,.mp3,E:\MUSIC\4 Ytube  2020 music preference\Lexi Walker - When You Wish Upon A Star.mp3
【勉強用・作業用BGM】α波で超集中・記憶力アップ【波の音×オルゴール】,,,120:00,192,44100,164.8,.mp3,E:\MUSIC\4 Ytube  2020 music preference\【勉強用・作業用BGM】α波で超集中・記憶力アップ【波の音×オルゴール】.mp3
【立体音響】聞き疲れしにくい 砂浜の波音　The sound of sandy beach,,,40:50,192,44100,56.2,.mp3,E:\MUSIC\4 Ytube  2020 music preference\【立体音響】聞き疲れしにくい 砂浜の波音　The sound of sandy beach.mp3
Bugle Call Rag,Benny Goodman,,3:02,192,44100,4.2,.mp3,E:\MUSIC\4 Ytube  2020 music preference\Benny Goodman - Bugle Call Rag.mp3
(作業用)チィリン降臨！道中BGM 1時間ver[パズドラ],,,60:29,192,44100,83.2,.mp3,E:\MUSIC\4 Ytube  2020 music preference\(作業用)チィリン降臨！道中BGM 1時間ver[パズドラ].mp3
【リラックス脳波】 美しい雨の音 3時間 【ヒーリング】 Sound of Rain 3 Hours,,,180:00,192,44100,247.2,.mp3,E:\MUSIC\4 Ytube  2020 music preference\【リラックス脳波】 美しい雨の音 3時間 【ヒーリング】 Sound of Rain 3 Hours.mp3
【作業用BGM】沖縄の海とカモメと波の音/Healing and Relaxing 2 hours,,,119:59,192,44100,164.8,.mp3,E:\MUSIC\4 Ytube  2020 music preference\【作業用BGM】沖縄の海とカモメと波の音_Healing and Relaxing 2 hours.mp3
ビシエドチャンテの威圧感マジ半端ない。,,,2:20,192,44100,3.4,.mp3,E:\MUSIC\4 Ytube  2020 music preference\ビシエドチャンテの威圧感マジ半端ない。.mp3
中日ドラゴンズ チャンステーマ1（狙い撃ち）,,,3:45,192,44100,5.3,.mp3,E:\MUSIC\4 Ytube  2020 music preference\中日ドラゴンズ チャンステーマ1（狙い撃ち）.mp3
【1時間】眠れない時、集中したい時に・・・　列車車内音　電車車内音　睡眠用・勉強用・読書用,,,60:08,192,44100,82.7,.mp3,E:\MUSIC\4 Ytube  2020 music preference\【1時間】眠れない時、集中したい時に・・・　列車車内音　電車車内音　睡眠用・勉強用・読書用.mp3
【AMBITIOUS JAPAN】東海道新幹線 のぞみ号 新大阪～東京間 自動放送 (字幕付き),,,13:38,192,44100,18.9,.mp3,E:\MUSIC\4 Ytube  2020 music preference\【AMBITIOUS JAPAN】東海道新幹線 のぞみ号 新大阪～東京間 自動放送 (字幕付き).mp3
,,,1:34,320,44100,3.6,.mp3,E:\MUSIC\4 Ytube  2020 music preference\[とび森]AM3時[BGM].mp3
,,,1:39,320,44100,3.8,.mp3,E:\MUSIC\4 Ytube  2020 music preference\[とび森]AM8時[BGM].mp3
,,,1:10,320,44100,2.7,.mp3,E:\MUSIC\4 Ytube  2020 music preference\[とび森]AM9時[BGM].mp3
,,,3:25,125,44100,3.1,.m4a,E:\MUSIC\4 Ytube  2020 music preference\涙そうそう.m4a
,,,4:08,125,44100,3.8,.m4a,E:\MUSIC\4 Ytube  2020 music preference\Blood Red Moon 「Alter Synth」.m4a
,,,3:01,125,44100,2.7,.m4a,E:\MUSIC\4 Ytube  2020 music preference\【電波人間のRPG FREE!】ボス戦BGM「大ボスバトルFREE!」.m4a
,,,1:36,320,44100,3.7,.mp3,E:\MUSIC\4 Ytube  2020 music preference\[とび森]AM10時[BGM].mp3
,,,1:38,320,44100,3.7,.mp3,E:\MUSIC\4 Ytube  2020 music preference\[とび森]AM11時[BGM].mp3
[DSM] Beach Town 15 minutes,pmfi,Beach Town,15:00,320,44100,34.3,.mp3,E:\MUSIC\4 Ytube  2020 music preference\Beach Town .mp3
"The Greatest Showman | ""Come Alive"" Lyric Video | Fox Family Entertainment",,,5:12,192,44100,7.3,.mp3,E:\MUSIC\4 Ytube  2020 music preference\Come Alive .mp3
,,,52:29,127,44100,48.6,.m4a,E:\MUSIC\4 Ytube  2020 music preference\Disney Land in Tokyo Entrance.m4a
,,,2:04,125,44100,1.9,.m4a,E:\MUSIC\4 Ytube  2020 music preference\Eva Quatre mains from EVANGELION 3.0.m4a
,,,2:55,128,44100,2.7,.m4a,E:\MUSIC\4 Ytube  2020 music preference\Beethoven - Für Elise.m4a
★ Studio Ghibli Cello Collection,,,29:23,192,44100,40.4,.mp3,E:\MUSIC\4 Ytube  2020 music preference\Ghibli Cello Collection.mp3
"One Piece Opening 16 ""Hands Up!""  Full Version (HD)",,,4:09,192,44100,5.9,.mp3,E:\MUSIC\4 Ytube  2020 music preference\Hands Up!.mp3
,,,91:24,127,44100,84.6,.m4a,E:\MUSIC\4 Ytube  2020 music preference\HAUSER.m4a
Namie Amuro - Hope,One Piece,,4:01,192,44100,5.6,.mp3,E:\MUSIC\4 Ytube  2020 music preference\Hope.mp3
,,,3:05,127,44100,2.9,.m4a,E:\MUSIC\4 Ytube  2020 music preference\Hopes and Dreams Acapella ⭐.m4a
Hopes and Dreams,Undertale Ost: 087,,3:01,192,44100,4.2,.mp3,E:\MUSIC\4 Ytube  2020 music preference\Undertale Ost_ 087 - Hopes and Dreams.mp3
,,,2:23,125,44100,2.2,.m4a,E:\MUSIC\4 Ytube  2020 music preference\Hungarian Dance No.5.m4a
"Jump Up, Super Star!",Super Mario Odyssey,,4:09,192,44100,5.8,.mp3,"E:\MUSIC\4 Ytube  2020 music preference\Jump Up, Super Star!.mp3"
FROZEN | Let It Go Sing-along | Official Disney UK,,,4:02,192,44100,5.7,.mp3,E:\MUSIC\4 Ytube  2020 music preference\Let It Go.mp3
◆ Lupin III Theme '80 (Jazz Orchestra) live ver.,,,5:49,192,44100,8.0,.mp3,E:\MUSIC\4 Ytube  2020 music preference\◆ Lupin III Theme '80 .mp3
Lupin the Third (English Vocal version),,,3:57,192,44100,5.5,.mp3,E:\MUSIC\4 Ytube  2020 music preference\Lupin the Third (English Vocal version).mp3
,,,4:06,127,44100,3.8,.m4a,E:\MUSIC\4 Ytube  2020 music preference\Mozart Overture - 'Le nozze di Figaro'.m4a
,,,3:44,125,44100,3.4,.m4a,E:\MUSIC\4 Ytube  2020 music preference\knight of nights.m4a
,,,55:31,125,44100,50.4,.m4a,E:\MUSIC\4 Ytube  2020 music preference\Norah Jones .m4a
,,,3:17,320,44100,7.6,.mp3,E:\MUSIC\4 Ytube  2020 music preference\Live While We're Young.mp3
,,,4:07,320,44100,9.5,.mp3,E:\MUSIC\4 Ytube  2020 music preference\Story of My Life.mp3
,,,1:42,320,44100,3.9,.mp3,E:\MUSIC\4 Ytube  2020 music preference\[とび森]PM0時[BGM].mp3
,,,1:38,320,44100,3.7,.mp3,E:\MUSIC\4 Ytube  2020 music preference\[とび森]PM1時[BGM].mp3
,,,1:45,320,44100,4.0,.mp3,E:\MUSIC\4 Ytube  2020 music preference\[とび森]PM2時[BGM].mp3
,,,1:12,320,44100,2.8,.mp3,E:\MUSIC\4 Ytube  2020 music preference\[とび森]PM3時[BGM].mp3
,,,1:44,320,44100,4.0,.mp3,E:\MUSIC\4 Ytube  2020 music preference\[とび森]PM4時[BGM].mp3
,,,2:34,320,44100,5.9,.mp3,E:\MUSIC\4 Ytube  2020 music preference\[とび森]PM5時[BGM].mp3
,,,1:42,320,44100,3.9,.mp3,E:\MUSIC\4 Ytube  2020 music preference\[とび森]PM6時[BGM].mp3
,,,1:37,320,44100,3.7,.mp3,E:\MUSIC\4 Ytube  2020 music preference\[とび森]PM8時[BGM].mp3
,,,1:48,320,44100,4.1,.mp3,E:\MUSIC\4 Ytube  2020 music preference\[とび森]PM9時[BGM].mp3
,,,1:26,320,44100,3.3,.mp3,E:\MUSIC\4 Ytube  2020 music preference\[とび森]PM10時[BGM].mp3
,,,2:16,320,44100,5.2,.mp3,E:\MUSIC\4 Ytube  2020 music preference\[とび森]PM11時[BGM].mp3
,,,2:32,125,44100,2.3,.m4a,E:\MUSIC\4 Ytube  2020 music preference\【hosnm4536】超絶技巧「クシコスポスト」（Transcendental Csikos Post）.m4a
ラプソディー・イン・ブルー　バーンスタイン　1976,,,16:35,192,44100,22.8,.mp3,E:\MUSIC\4 Ytube  2020 music preference\rhapsody in blue.mp3
,,,3:10,320,44100,7.3,.mp3,E:\MUSIC\4 Ytube  2020 music preference\Rupin Piano.mp3
,,,5:05,125,44100,4.6,.m4a,E:\MUSIC\4 Ytube  2020 music preference\Sing Sing Sing .m4a
,,,2:33,320,44100,5.8,.mp3,E:\MUSIC\4 Ytube  2020 music preference\Summer .mp3
,,,2:39,320,44100,6.1,.mp3,E:\MUSIC\4 Ytube  2020 music preference\That Summer.mp3
,,,4:18,125,44100,3.9,.m4a,E:\MUSIC\4 Ytube  2020 music preference\Pegboard Nerds - OSCar [Monstercat Release].m4a
,,,3:03,320,44100,7.0,.mp3,E:\MUSIC\4 Ytube  2020 music preference\Top of the world .mp3
TRIGGER★HAPPY,P*Light,,2:00,192,44100,2.9,.mp3,E:\MUSIC\4 Ytube  2020 music preference\P_Light - TRIGGER★HAPPY.mp3
,,,3:21,320,44100,7.7,.mp3,E:\MUSIC\4 Ytube  2020 music preference\We Are Never Ever Getting Back Together lyrics.mp3
Evangelion:2.0 You Can (Not) Advance (Thai & English Lyrics),"""The Final Decision We All Must Take""",,4:49,192,44100,6.7,.mp3,E:\MUSIC\4 Ytube  2020 music preference\The Final Decision We All Must Take - Evangelion_2.0 You Can (Not) Advance (Thai & English Lyrics).mp3
,,,3:55,320,44100,9.0,.mp3,E:\MUSIC\4 Ytube  2020 music preference\Yesterday Once More .mp3
,,,4:34,125,44100,4.2,.m4a,E:\MUSIC\4 Ytube  2020 music preference\You Raise Me Up.m4a
異国情緒溢れる　アコーディオン音楽集【作業用BGM】民族音楽　街　怪しい　Accordion Music,,,19:57,192,44100,27.5,.mp3,E:\MUSIC\4 Ytube  2020 music preference\Accordion Music.mp3
踊りたくなる　楽しい　ケルト音楽集　【作業用BGM】Celtic Music,,,22:39,192,44100,31.2,.mp3,E:\MUSIC\4 Ytube  2020 music preference\Celtic Music.mp3
,,,3:19,320,44100,7.6,.mp3,E:\MUSIC\4 Ytube  2020 music preference\Pavarotti - Nessun Dorma 1994 (High Quality With Lyrics).mp3
,,,10:00,125,44100,9.1,.m4a,E:\MUSIC\4 Ytube  2020 music preference\パズドラ 壊滅級BGM 【道中･ボス戦】.m4a
,,,4:05,127,44100,3.8,.m4a,E:\MUSIC\4 Ytube  2020 music preference\君をのせて.m4a
Music: Heaven's Rock Seat,Etrian Odyssey II: Heroes of Lagaard,,4:33,192,44100,6.3,.mp3,E:\MUSIC\4 Ytube  2020 music preference\Etrian Odyssey II_ Heroes of Lagaard - Music_ Heaven's Rock Seat.mp3
Final Boss,Etrian Odyssey Nexus [世界樹の迷宮X],,5:25,192,44100,7.7,.mp3,E:\MUSIC\4 Ytube  2020 music preference\Etrian Odyssey Nexus [世界樹の迷宮X] - Final Boss.mp3
