曲名,アーティスト,アルバム,ファイルパス
"David Aaron Carpenter: The 12 Seasons for Viola (Vivaldi, Piazzolla, Shor)",,,E:\MUSIC\2 classical\The 12 Seasons for Viola .mp3
"Ave Maria, D. 839",Barbara Bonney · Geoffrey Parsons,Schubert : Lieder,"E:\MUSIC\2 classical\Ave Maria, D. 839.mp3"
J.S. Bach: The Violin Concertos,,,E:\MUSIC\2 classical\J.S. Bach_ The Violin Concertos.mp3
ベートーヴェン － 交響曲 第１番 ハ短調 Op.21　　カラヤン　ベルリンフィル,,,E:\MUSIC\2 classical\ベートーヴェン － 交響曲 第１番 ハ短調 Op.21　　カラヤン　ベルリンフィル.mp3
ベートーヴェン － 交響曲 第２番 ニ長調 Op.36　　カラヤン　ベルリンフィル,,,E:\MUSIC\2 classical\ベートーヴェン － 交響曲 第２番 ニ長調 Op.36　　カラヤン　ベルリンフィル.mp3
ベートーヴェン － 交響曲 第３番 変ホ長調 Op.55《英雄》　カラヤン　ベルリンフィル,,,E:\MUSIC\2 classical\ベートーヴェン － 交響曲 第３番 変ホ長調 Op.55《英雄》　カラヤン　ベルリンフィル.mp3
ベートーヴェン － 交響曲 第４番 変ロ長調 Op.60　　カラヤン　ベルリンフィル,,,E:\MUSIC\2 classical\ベートーヴェン － 交響曲 第４番 変ロ長調 Op.60　　カラヤン　ベルリンフィル.mp3
ベートーヴェン － 交響曲第５番《運命》Ｏｐ67　交響曲第６番《田園》Ｏｐ68　　カラヤン　ベルリンフィル　1962,,,E:\MUSIC\2 classical\ベートーヴェン － 交響曲 第５番《運命》Ｏｐ67　交響曲第６番《田園》Ｏｐ68　　カラヤン　ベルリンフィル　1962.mp3
ベートーヴェン － 交響曲 第７番 イ長調 Op.92　　カラヤン　ベルリンフィル,,,E:\MUSIC\2 classical\ベートーヴェン － 交響曲 第７番 イ長調 Op.92　　カラヤン　ベルリンフィル.mp3
ベートーヴェン － 交響曲 第８番 ヘ長調 Op.93　　カラヤン　ベルリンフィル,,,E:\MUSIC\2 classical\ベートーヴェン － 交響曲 第８番 ヘ長調 Op.93　　カラヤン　ベルリンフィル.mp3
ベートーヴェン － 交響曲 第９番 ニ短調 Op.125《合唱》　カラヤン　ベルリンフィル　1962　（日本語訳付き）,,,E:\MUSIC\2 classical\ベートーヴェン － 交響曲 第９番 ニ短調 Op.125《合唱》　カラヤン　ベルリンフィル　1962　（日本語訳付き）.mp3
"ベートーヴェン ピアノ・ソナタ 第8番 ≪悲 愴≫ ホロヴィッツ  Beethoven ""Grande Sonate pathetique""",,,E:\MUSIC\2 classical\ベートーヴェン ピアノ・ソナタ 第8番 ≪悲 愴≫ ホロヴィッツ  Beethoven Grande Sonate pathetique.mp3
Bolero  (Gergiev),,,E:\MUSIC\2 classical\Bolero  (Gergiev).mp3
Coro Madrigale (2008),"Jesus, bleibet meine Freude",,E:\MUSIC\2 classical\Desiring.mp3
"Beethoven: String Quartet No. 4 in C Minor, Op. 18 No. 4 - 1. Allegro ma non tanto",Emerson String Quartet,Beethoven:The String Quartets,"E:\MUSIC\2 classical\Emerson String Quartet - Beethoven_ String Quartet No. 4 in C Minor, Op. 18 No. 4 - 1. Allegro ma non tanto.mp3"
"Beethoven: String Quartet No. 4 in C Minor, Op. 18 No. 4 - 3. Menuetto. Allegretto",Emerson String Quartet,Beethoven:The String Quartets,"E:\MUSIC\2 classical\Emerson String Quartet - Beethoven_ String Quartet No. 4 in C Minor, Op. 18 No. 4 - 3. Menuetto. Allegretto.mp3"
Hungarian Dance No.5,Brahms,,E:\MUSIC\2 classical\Brahms - Hungarian Dance No.5.mp3
Prince Igor,Alexander Borodin,,E:\MUSIC\2 classical\Alexander Borodin - Prince Igor.mp3
"Mozart: Sinfonia concertante for Violin, Viola and Orchestra in E flat, K.364 - 3. Presto",Arthur Grumiaux · Arrigo Pelliccia · London Symphony Orchestra · Sir Colin Davis,Mozart: Violin Concertos Nos. 1/5 etc.,"E:\MUSIC\2 classical\Arthur Grumiaux · Arrigo Pelliccia · London Symphony Orchestra · Sir Colin Davis - Mozart_ Sinfonia concertante for Violin, Viola and Orchestra in E flat, K.364 - 3. Presto.mp3"
,,,E:\MUSIC\2 classical\La Campanella.mp3
Hungarian Rhapsody No.2 (Orchestra version),Franz Liszt,,E:\MUSIC\2 classical\Franz Liszt - Hungarian Rhapsody No.2 (Orchestra version).mp3
"Complete Symphonies 21-41 Jupiter, Paris, Prague.. (Century's recording : Josef Krips)",Mozart,,"E:\MUSIC\2 classical\Mozart - Complete Symphonies 21-41 Jupiter, Paris, Prague.. (Century's recording _ Josef Krips).mp3"
"Dvořák: Symphony No. 9 ""From the New World"" / Karajan · Berliner Philharmoniker",,,E:\MUSIC\2 classical\Dvořák_ Symphony No. 9 From the New World _ Karajan · Berliner Philharmoniker.mp3
The Best Of Opera Masterpieces . 6 Hours CLASSICAL MUSIC NON STOP.,,,E:\MUSIC\2 classical\Opera Masterpieces.mp3
The Second Waltz (Piano) // SHOSTAKOVICH,,,E:\MUSIC\2 classical\The Second Waltz.mp3
The Best of Shostakovich,,,E:\MUSIC\2 classical\Shostakovich.mp3
,,,E:\MUSIC\2 classical\Antonio Vivaldi  Concierto alla Rustica RV 151 en Sol Mayor - Obra Completa.mp3
メンデルスゾーン ピアノ三重奏曲 第1番 ニ短調 Op 49  mendelssohn   piano trio no. 1,,,E:\MUSIC\2 classical\mendelssohn   piano trio no. 1.mp3
ワーグナー: 歌劇｢ローエングリン｣：婚礼の合唱［ナクソス・クラシック・キュレーション #癒し］,,,E:\MUSIC\2 classical\婚礼の合唱.mp3
,,,"E:\MUSIC\2 classical\Mozart  Symphony No. 40, Walter   ColumbiaSO (1959) モーツァルト 交響曲第40番 ワルター.mp3"
,,,"E:\MUSIC\2 classical\Mozart - Symphony No. 41 in C major, K. 551, Jupiter.mp3"
,,,E:\MUSIC\2 classical\Mozart - Lacrimosa.mp3
,,,E:\MUSIC\2 classical\Ｊ.Ｓ.バッハ 無伴奏チェロ組曲　第1番～プレリュード～／中木健二.mp3
,,,E:\MUSIC\2 classical\Ave verum corpus K 618.mp3
,,,E:\MUSIC\2 classical\Bach  Goldberg Variations - András Schiff (2017).mp3
,,,"E:\MUSIC\2 classical\Sabine Meyer, Mozart Clarinet Concerto in A major Kv 622.mp3"
,,,"E:\MUSIC\2 classical\Beethoven - Symphony No. 6 Pastoral   Remastered (r  Herbert von Karajan, Berliner Philharmoniker).mp3"
,,,E:\MUSIC\2 classical\【長時間作業用BGM】モーツァルト：弦楽五重奏曲全集 ／ MOZART   The Complete String Quintets.mp3
,,,"E:\MUSIC\2 classical\Mozart  Divertimento in B-flat major, K. 137 125b (with Score).mp3"
,,,"E:\MUSIC\2 classical\Mozart - Divertimento in D major, K. 136 (1772).mp3"
,,,"E:\MUSIC\2 classical\Mozart  Divertimento No. 17 in D major, K. 334 320b (with Score).mp3"
エッグプラネット　BGM　スーパーマリオギャラクシー,,,E:\MUSIC\1 SMG & mkw\エッグプラネット　BGM　スーパーマリオギャラクシー.mp3
スターダスト　BGM　スーパーマリオギャラクシー,,,E:\MUSIC\1 SMG & mkw\スターダスト　BGM　スーパーマリオギャラクシー.mp3
バトルロック　BGM　スーパーマリオギャラクシー,,,E:\MUSIC\1 SMG & mkw\バトルロック　BGM　スーパーマリオギャラクシー.mp3
フローターランド(海中)　BGM　スーパーマリオギャラクシー,,,E:\MUSIC\1 SMG & mkw\フローターランド(海中)　BGM　スーパーマリオギャラクシー.mp3
,,,E:\MUSIC\1 SMG & mkw\フローターランド.mp3
ヘルプロミネンス　BGM　スーパーマリオギャラクシー,,,E:\MUSIC\1 SMG & mkw\ヘルプロミネンス　BGM　スーパーマリオギャラクシー.mp3
青空アスレチック　BGM　スーパーマリオギャラクシー,,,E:\MUSIC\1 SMG & mkw\青空アスレチック　BGM　スーパーマリオギャラクシー.mp3
Super Mario Galaxy 2,Another Story,,E:\MUSIC\1 SMG & mkw\Another Story - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Awawawawa!,,E:\MUSIC\1 SMG & mkw\Awawawawa! - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Ball Rolling,,E:\MUSIC\1 SMG & mkw\Ball Rolling - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Beat Block (Yoshi),,E:\MUSIC\1 SMG & mkw\Beat Block (Yoshi) - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Beat Block Galaxy,,E:\MUSIC\1 SMG & mkw\Beat Block Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Beta Song 1,,E:\MUSIC\1 SMG & mkw\Beta Song 1 - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Beta Song 2,,E:\MUSIC\1 SMG & mkw\Beta Song 2 - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Beta Song 3,,E:\MUSIC\1 SMG & mkw\Beta Song 3 - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Boomsday,,E:\MUSIC\1 SMG & mkw\Boomsday - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Boss Blitz Galaxy,,E:\MUSIC\1 SMG & mkw\Boss Blitz Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Bouldergeist,,E:\MUSIC\1 SMG & mkw\Bouldergeist - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Bowser Jr.'s Fort,,E:\MUSIC\1 SMG & mkw\Bowser Jr.'s Fort - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Bowser Jr.'s Fort (Yoshi),,E:\MUSIC\1 SMG & mkw\Bowser Jr.'s Fort (Yoshi) - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,"Bowser, Almighty Koopa King",,"E:\MUSIC\1 SMG & mkw\Bowser, Almighty Koopa King - Super Mario Galaxy 2.mp3"
Super Mario Galaxy 2,Bowser's Galaxy Generator,,E:\MUSIC\1 SMG & mkw\Bowser's Galaxy Generator - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Bowser's Galaxy Generator (Yoshi),,E:\MUSIC\1 SMG & mkw\Bowser's Galaxy Generator (Yoshi) - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Bowser's Lava Lair,,E:\MUSIC\1 SMG & mkw\Bowser's Lava Lair - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Bunny Chasing,,E:\MUSIC\1 SMG & mkw\Bunny Chasing - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Chimp's Challenge,,E:\MUSIC\1 SMG & mkw\Chimp's Challenge - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Chompworks Galaxy,,E:\MUSIC\1 SMG & mkw\Chompworks Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Cloudy Court Galaxy,,E:\MUSIC\1 SMG & mkw\Cloudy Court Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Cosmic Clones,,E:\MUSIC\1 SMG & mkw\Cosmic Clones - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Cosmic Cove Galaxy,,E:\MUSIC\1 SMG & mkw\Cosmic Cove Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Course Select,,E:\MUSIC\1 SMG & mkw\Course Select - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Digga-Leg,,E:\MUSIC\1 SMG & mkw\Digga-Leg - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Dino Piranha,,E:\MUSIC\1 SMG & mkw\Dino Piranha - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Final Bowser Battle,,E:\MUSIC\1 SMG & mkw\Final Bowser Battle - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Fire Mario,,E:\MUSIC\1 SMG & mkw\Fire Mario - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Fleet Glide Galaxy,,E:\MUSIC\1 SMG & mkw\Fleet Glide Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Flip-Swap Galaxy,,E:\MUSIC\1 SMG & mkw\Flip-Swap Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Forest Dwellers,,E:\MUSIC\1 SMG & mkw\Forest Dwellers - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Freezy Flake Galaxy,,E:\MUSIC\1 SMG & mkw\Freezy Flake Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Galaxy Intro,,E:\MUSIC\1 SMG & mkw\Galaxy Intro - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Glamdozer,,E:\MUSIC\1 SMG & mkw\Glamdozer - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Gobblegut,,E:\MUSIC\1 SMG & mkw\Gobblegut - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Grand Star Get!,,E:\MUSIC\1 SMG & mkw\Grand Star Get! - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Green Star,,E:\MUSIC\1 SMG & mkw\Green Star - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Haunty Halls (Yoshi),,E:\MUSIC\1 SMG & mkw\Haunty Halls (Yoshi) - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Haunty Halls Galaxy,,E:\MUSIC\1 SMG & mkw\Haunty Halls Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Hightail Falls (Yoshi),,E:\MUSIC\1 SMG & mkw\Hightail Falls (Yoshi) - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Hightail Falls Galaxy,,E:\MUSIC\1 SMG & mkw\Hightail Falls Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Hint TV,,E:\MUSIC\1 SMG & mkw\Hint TV - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Honeyhop Galaxy,,E:\MUSIC\1 SMG & mkw\Honeyhop Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Inside the Drain Pipe,,E:\MUSIC\1 SMG & mkw\Inside the Drain Pipe - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Major Burrows,,E:\MUSIC\1 SMG & mkw\Major Burrows - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Megahammer,,E:\MUSIC\1 SMG & mkw\Megahammer - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Melty Monster Galaxy,,E:\MUSIC\1 SMG & mkw\Melty Monster Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Overture,,E:\MUSIC\1 SMG & mkw\Overture - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Peewee Piranha,,E:\MUSIC\1 SMG & mkw\Peewee Piranha - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Power of the Stars,,E:\MUSIC\1 SMG & mkw\Power of the Stars - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Power Star Get!,,E:\MUSIC\1 SMG & mkw\Power Star Get! - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Precious One,,E:\MUSIC\1 SMG & mkw\Precious One - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Purple Coins,,E:\MUSIC\1 SMG & mkw\Purple Coins - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Puzzle Plank Galaxy,,E:\MUSIC\1 SMG & mkw\Puzzle Plank Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Rainbow Mario,,E:\MUSIC\1 SMG & mkw\Rainbow Mario - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Rolling Coaster Galaxy (Idle),,E:\MUSIC\1 SMG & mkw\Rolling Coaster Galaxy (Idle) - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Rosalina,,E:\MUSIC\1 SMG & mkw\Rosalina - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Shiverburn Galaxy,,E:\MUSIC\1 SMG & mkw\Shiverburn Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Sky Station Galaxy,,E:\MUSIC\1 SMG & mkw\Sky Station Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Slider,,E:\MUSIC\1 SMG & mkw\Slider - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Slimy Spring Galaxy,,E:\MUSIC\1 SMG & mkw\Slimy Spring Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Slipsand Galaxy,,E:\MUSIC\1 SMG & mkw\Slipsand Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Space Storm Galaxy,,E:\MUSIC\1 SMG & mkw\Space Storm Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Spin-Dig Galaxy,,E:\MUSIC\1 SMG & mkw\Spin-Dig Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Squizzard,,E:\MUSIC\1 SMG & mkw\Squizzard - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Staff Credits,,E:\MUSIC\1 SMG & mkw\Staff Credits - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Star Chance,,E:\MUSIC\1 SMG & mkw\Star Chance - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Starshine Beach (Underwater),,E:\MUSIC\1 SMG & mkw\Starshine Beach (Underwater) - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Starshine Beach (Yoshi),,E:\MUSIC\1 SMG & mkw\Starshine Beach (Yoshi) - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Starshine Beach Galaxy,,E:\MUSIC\1 SMG & mkw\Starshine Beach Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Starship Mario 1,,E:\MUSIC\1 SMG & mkw\Starship Mario 1 - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Starship Mario 2,,E:\MUSIC\1 SMG & mkw\Starship Mario 2 - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Starship Mario 3,,E:\MUSIC\1 SMG & mkw\Starship Mario 3 - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,"Starship Mario, Launch!",,"E:\MUSIC\1 SMG & mkw\Starship Mario, Launch! - Super Mario Galaxy 2.mp3"
Super Mario Galaxy 2,Supermassive Galaxy,,E:\MUSIC\1 SMG & mkw\Supermassive Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Sweet Mystery (Yoshi),,E:\MUSIC\1 SMG & mkw\Sweet Mystery (Yoshi) - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Sweet Mystery Galaxy,,E:\MUSIC\1 SMG & mkw\Sweet Mystery Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Teleporter,,E:\MUSIC\1 SMG & mkw\Teleporter - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Tension,,E:\MUSIC\1 SMG & mkw\Tension - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,The Lost Luma,,E:\MUSIC\1 SMG & mkw\The Lost Luma - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,The Luma and the Hat,,E:\MUSIC\1 SMG & mkw\The Luma and the Hat - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,The Perfect Run 1,,E:\MUSIC\1 SMG & mkw\The Perfect Run 1 - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,The Perfect Run 2,,E:\MUSIC\1 SMG & mkw\The Perfect Run 2 - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,The Perfect Run 3,,E:\MUSIC\1 SMG & mkw\The Perfect Run 3 - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,The Starship Appears,,E:\MUSIC\1 SMG & mkw\The Starship Appears - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,The Starship Sails,,E:\MUSIC\1 SMG & mkw\The Starship Sails - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Theme of Super Mario Galaxy 2,,E:\MUSIC\1 SMG & mkw\Theme of Super Mario Galaxy 2 - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Throwback Galaxy,,E:\MUSIC\1 SMG & mkw\Throwback Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Time Attack,,E:\MUSIC\1 SMG & mkw\Time Attack - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Time Attack (Yoshi),,E:\MUSIC\1 SMG & mkw\Time Attack (Yoshi) - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Toad Brigade,,E:\MUSIC\1 SMG & mkw\Toad Brigade - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Topman's Tower,,E:\MUSIC\1 SMG & mkw\Topman's Tower - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Twisty Trials (Yoshi),,E:\MUSIC\1 SMG & mkw\Twisty Trials (Yoshi) - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Unidentified Planet,,E:\MUSIC\1 SMG & mkw\Unidentified Planet - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Upside Dizzy Galaxy,,E:\MUSIC\1 SMG & mkw\Upside Dizzy Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Warp Pipe Room,,E:\MUSIC\1 SMG & mkw\Warp Pipe Room - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Warp Room (Yoshi),,E:\MUSIC\1 SMG & mkw\Warp Room (Yoshi) - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Wii Channel,,E:\MUSIC\1 SMG & mkw\Wii Channel - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Wild Glide Galaxy,,E:\MUSIC\1 SMG & mkw\Wild Glide Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,World 1 & 2,,E:\MUSIC\1 SMG & mkw\World 1 & 2 - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,World 3,,E:\MUSIC\1 SMG & mkw\World 3 - Super Mario Galaxy 2.mp3
