曲名,アーティスト,アルバム,ファイルパス
Super Mario Galaxy 2,World 4,,E:\MUSIC\1 SMG & mkw\World 4 - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,World 5,,E:\MUSIC\1 SMG & mkw\World 5 - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,World 6,,E:\MUSIC\1 SMG & mkw\World 6 - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,World S,,E:\MUSIC\1 SMG & mkw\World S - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Yoshi Appears,,E:\MUSIC\1 SMG & mkw\Yoshi Appears - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Yoshi Star Galaxy,,E:\MUSIC\1 SMG & mkw\Yoshi Star Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Yoshi Star Galaxy (Yoshi),,E:\MUSIC\1 SMG & mkw\Yoshi Star Galaxy (Yoshi) - Super Mario Galaxy 2.mp3
Wii Fit Music-Results 2,,,E:\MUSIC\1 SMG & mkw\Wii Fit Music-Results 2.mp3
Wii Fit Music-Results,,,E:\MUSIC\1 SMG & mkw\Wii Fit Music-Results.mp3
レインボーロード(ファイナルセクション)　BGM　マリオカート7,,,E:\MUSIC\1 SMG & mkw\レインボーロード(ファイナルセクション)　BGM　マリオカート7.mp3
New Super Mario Bros.,Castle Theme,,E:\MUSIC\1 SMG & mkw\Castle Theme - New Super Mario Bros..mp3
Mario Kart Wii,DS Delfino Square,,E:\MUSIC\1 SMG & mkw\DS Delfino Square - Mario Kart Wii.mp3
Deltarune (Extended),THE WORLD REVOLVING (Jevil's Theme),,E:\MUSIC\1 SMG & mkw\THE WORLD REVOLVING.mp3
「王座の間」 スターウォーズエンドロール曲 ED曲,,,E:\MUSIC\1 SMG & mkw\Throne Room.mp3
Realm Overworld,The Legend of Zelda: Spirit Tracks Music,,E:\MUSIC\1 SMG & mkw\The Legend of Zelda_ Spirit Tracks Music - Realm Overworld.mp3
ポケモンBW2 BGM 「戦闘！チャンピオンアイリス」,,,E:\MUSIC\1 SMG & mkw\戦闘！チャンピオンアイリス.mp3
,,,E:\MUSIC\1 SMG & mkw\citation from ‘joy to the world'.mp3
,,,E:\MUSIC\1 SMG & mkw\I am (報道ステーションテーマ曲).mp3
,,,E:\MUSIC\1 SMG & mkw\The Grand Finale - Mario   Luigi Bowser's Inside Story.mp3
,,,E:\MUSIC\1 SMG & mkw\猫叉Master+ [HD] 「nightbird lost wing」.mp3
,,,E:\MUSIC\1 SMG & mkw\Fading World - Imperial Tower.mp3
,,,E:\MUSIC\1 SMG & mkw\Binding of Isaac - Wrath of the Lamb OST My Innermost Apocalypse.mp3
Victory Fanfare 【勝利のファンファーレ】 [Final Fantasy X HD Remaster OST],010,,E:\MUSIC\1 SMG & mkw\Victory Fanfare.mp3
Immortal (2011),Thomas Bergersen,,E:\MUSIC\1 SMG & mkw\Immortal .mp3
Town - The Bliss of the Twilight,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Town - The Bliss of the Twilight.mp3
Unrest - Scatter About,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Unrest - Scatter About.mp3
Unrest - The Burning Crimson Sword Dances,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Unrest - The Burning Crimson Sword Dances.mp3
Unrest - The End of Raging Winds,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Unrest - The End of Raging Winds.mp3
Unrest - The Legend's Successor,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Unrest - The Legend's Successor.mp3
Until the Day You Soar Again,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Until the Day You Soar Again.mp3
Your Adventure Has Ended,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Your Adventure Has Ended.mp3
A Brief Respite,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - A Brief Respite.mp3
Area I - Windy Plains,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Area I - Windy Plains.mp3
Area II - The Red Stone Forest,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Area II - The Red Stone Forest.mp3
Area III - Sacred Mountain of Silver Wind,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Area III - Sacred Mountain of Silver Wind.mp3
Area IV - The Land Beyond the Clouds,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Area IV - The Land Beyond the Clouds.mp3
Battlefield - Faith is My Pillar,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Battlefield - Faith is My Pillar.mp3
Battlefield - Storm,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Battlefield - Storm.mp3
Battlefield - The Fall of the Final Enemy,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Battlefield - The Fall of the Final Enemy.mp3
Battlefield - With Eyes Blazing,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Battlefield - With Eyes Blazing.mp3
Get the Treasure,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Get the Treasure.mp3
Labyrinth I - Cerulean Woodlands,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Labyrinth I - Cerulean Woodlands.mp3
Labyrinth II - Misty Ravine,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Labyrinth II - Misty Ravine.mp3
Labyrinth III - Grotto of the Adamantine Beast,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Labyrinth III - Grotto of the Adamantine Beast.mp3
Labyrinth IV - Library of Puppets,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Labyrinth IV - Library of Puppets.mp3
Labyrinth V - City of Radiant Ruin,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Labyrinth V - City of Radiant Ruin.mp3
Labyrinth VI - Den of the Dark Realm,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Labyrinth VI - Den of the Dark Realm.mp3
Minor Labyrinth I - The Undiscovered Realm,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Minor Labyrinth I - The Undiscovered Realm.mp3
Minor Labyrinth II - Lead Astray in the Lost Woods,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Minor Labyrinth II - Lead Astray in the Lost Woods.mp3
Minor Labyrinth III - A Cave of Exciting New Encounters,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Minor Labyrinth III - A Cave of Exciting New Encounters.mp3
Minor Labyrinth IV - Ruins Touched by the Memories of the Ancient,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Minor Labyrinth IV - Ruins Touched by the Memories of the Ancient.mp3
On an Adventure Gliding Through the Skies,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - On an Adventure Gliding Through the Skies.mp3
Reward,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Reward.mp3
Scene - A Chance Meeting,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Scene - A Chance Meeting.mp3
Scene - Imminent Calamity,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Scene - Imminent Calamity.mp3
Scene - The Ancient Oath,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Scene - The Ancient Oath.mp3
Scene - The Silent Wind Blows,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Scene - The Silent Wind Blows.mp3
The Relentless Melody,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - The Relentless Melody.mp3
Town - A Town Embraced by the Azure Sky,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Town - A Town Embraced by the Azure Sky.mp3
Town - Engraved are the Names that Will Resound Tomorrow,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Town - Engraved are the Names that Will Resound Tomorrow.mp3
Town - Margarita's Afternoon,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Town - Margarita's Afternoon.mp3
,,,E:\MUSIC\5 Ytube music 2021~ music preference\Last Train Home.mp3
,,,E:\MUSIC\5 Ytube music 2021~ music preference\The Coasters   Sh Boom Life Could Be A Dream.mp3
,,,E:\MUSIC\5 Ytube music 2021~ music preference\[Reupload]【東方ボーカル】 「Fall In The Dark」 【ShibayanRecords】【Subbed】.mp3
,,,E:\MUSIC\5 Ytube music 2021~ music preference\【スマブラ】MUTE CITY（スマブラXver）【15分耐久】.mp3
,,,E:\MUSIC\5 Ytube music 2021~ music preference\【神曲イース8 BGM】14 - LOST IN GREEN.mp3
,,,E:\MUSIC\5 Ytube music 2021~ music preference\Circle-Vision 2 - Tokyo Disneyland Tomorrowland.mp3
,,,E:\MUSIC\5 Ytube music 2021~ music preference\Euclase.mp3
,,,E:\MUSIC\5 Ytube music 2021~ music preference\Mariah Carey - All I Want For Christmas Is You (Official Video).mp3
,,,E:\MUSIC\5 Ytube music 2021~ music preference\Moon Over The Castle (GT7 Full Version).mp3
,,,E:\MUSIC\5 Ytube music 2021~ music preference\シーモアバトル.mp3
,,,E:\MUSIC\5 Ytube music 2021~ music preference\ずっと真夜中でいいのに。『マイノリティ脈絡』 (ZUTOMAYO - Minority Myakuraku)（Audio Track）.mp3
,,,E:\MUSIC\5 Ytube music 2021~ music preference\放課後の音楽室 2006.mp3
,,,E:\MUSIC\5 Ytube music 2021~ music preference\Steve Jablonsky - Arrival To Earth (Official Audio).mp3
,,,E:\MUSIC\5 Ytube music 2021~ music preference\いきものがかり 『ブルーバード』Music Video.mp3
,,,E:\MUSIC\5 Ytube music 2021~ music preference\プリンセス プリンセス　『Diamonds ＜ダイアモンド＞』.mp3
,,,E:\MUSIC\5 Ytube music 2021~ music preference\King Gnu - SPECIALZ.mp3
,,,E:\MUSIC\5 Ytube music 2021~ music preference\Neon Genesis Evangelion - Fly me to the moon..mp3
,,,E:\MUSIC\5 Ytube music 2021~ music preference\SEKAI NO OWARI「最高到達点」.mp3
,,,E:\MUSIC\5 Ytube music 2021~ music preference\Stay With Me (Extended Version).mp3
,,,E:\MUSIC\5 Ytube music 2021~ music preference\This is The Dream (1145) [Unused track] by Shiro SAGISU ― Evangelion 3.0+1.0 OST.【TH   ENG Lyrics】.mp3
,,,E:\MUSIC\5 Ytube music 2021~ music preference\いきものがかり 『気まぐれロマンティック』Music Video.mp3
,,,E:\MUSIC\5 Ytube music 2021~ music preference\ヘッドライト・テールライト.mp3
,,,E:\MUSIC\5 Ytube music 2021~ music preference\山口百恵　ささやかな欲望.mp3
,,,E:\MUSIC\5 Ytube music 2021~ music preference\Pokémon Omega Ruby   Alpha Sapphire - Zinnia Battle Music (HQ).mp3
,,,E:\MUSIC\5 Ytube music 2021~ music preference\Fight For Liberty.mp3
,,,E:\MUSIC\5 Ytube music 2021~ music preference\山口百恵　いい日旅立ち.mp3
"【東方原曲】永夜抄「月まで届け、不死の煙」(Reach for the Moon, Immortal Smoke)【高音質】.mp4",,,E:\MUSIC\4 Ytube  2020 music preference\月まで届け、不死の煙.mp3
悠悠華夏韻,【中國風】極致中國風,,E:\MUSIC\4 Ytube  2020 music preference\悠悠華夏韻.mp3
【東方原曲】風神録「ネイティブフェイス」(Native Faith) 【高音質】.mp4,,,E:\MUSIC\4 Ytube  2020 music preference\ネイティブフェイス.mp3
One Piece opening 6 Full HD,,,E:\MUSIC\4 Ytube  2020 music preference\One Piece opening 6 Full HD.mp3
東方アレンジ          「東方音銃夢」,,,E:\MUSIC\4 Ytube  2020 music preference\東方アレンジ          「東方音銃夢」.mp3
Come Alive,The Greatest Showman Cast,,E:\MUSIC\4 Ytube  2020 music preference\The Greatest Showman Cast - Come Alive.mp3
This Is Me,The Greatest Showman Cast,,E:\MUSIC\4 Ytube  2020 music preference\The Greatest Showman Cast - This Is Me.mp3
When You Wish Upon A Star,Lexi Walker,,E:\MUSIC\4 Ytube  2020 music preference\Lexi Walker - When You Wish Upon A Star.mp3
【勉強用・作業用BGM】α波で超集中・記憶力アップ【波の音×オルゴール】,,,E:\MUSIC\4 Ytube  2020 music preference\【勉強用・作業用BGM】α波で超集中・記憶力アップ【波の音×オルゴール】.mp3
【立体音響】聞き疲れしにくい 砂浜の波音　The sound of sandy beach,,,E:\MUSIC\4 Ytube  2020 music preference\【立体音響】聞き疲れしにくい 砂浜の波音　The sound of sandy beach.mp3
Bugle Call Rag,Benny Goodman,,E:\MUSIC\4 Ytube  2020 music preference\Benny Goodman - Bugle Call Rag.mp3
(作業用)チィリン降臨！道中BGM 1時間ver[パズドラ],,,E:\MUSIC\4 Ytube  2020 music preference\(作業用)チィリン降臨！道中BGM 1時間ver[パズドラ].mp3
【リラックス脳波】 美しい雨の音 3時間 【ヒーリング】 Sound of Rain 3 Hours,,,E:\MUSIC\4 Ytube  2020 music preference\【リラックス脳波】 美しい雨の音 3時間 【ヒーリング】 Sound of Rain 3 Hours.mp3
【作業用BGM】沖縄の海とカモメと波の音/Healing and Relaxing 2 hours,,,E:\MUSIC\4 Ytube  2020 music preference\【作業用BGM】沖縄の海とカモメと波の音_Healing and Relaxing 2 hours.mp3
ビシエドチャンテの威圧感マジ半端ない。,,,E:\MUSIC\4 Ytube  2020 music preference\ビシエドチャンテの威圧感マジ半端ない。.mp3
中日ドラゴンズ チャンステーマ1（狙い撃ち）,,,E:\MUSIC\4 Ytube  2020 music preference\中日ドラゴンズ チャンステーマ1（狙い撃ち）.mp3
【1時間】眠れない時、集中したい時に・・・　列車車内音　電車車内音　睡眠用・勉強用・読書用,,,E:\MUSIC\4 Ytube  2020 music preference\【1時間】眠れない時、集中したい時に・・・　列車車内音　電車車内音　睡眠用・勉強用・読書用.mp3
【AMBITIOUS JAPAN】東海道新幹線 のぞみ号 新大阪～東京間 自動放送 (字幕付き),,,E:\MUSIC\4 Ytube  2020 music preference\【AMBITIOUS JAPAN】東海道新幹線 のぞみ号 新大阪～東京間 自動放送 (字幕付き).mp3
,,,E:\MUSIC\4 Ytube  2020 music preference\[とび森]AM3時[BGM].mp3
,,,E:\MUSIC\4 Ytube  2020 music preference\[とび森]AM8時[BGM].mp3
,,,E:\MUSIC\4 Ytube  2020 music preference\[とび森]AM9時[BGM].mp3
,,,E:\MUSIC\4 Ytube  2020 music preference\[とび森]AM10時[BGM].mp3
,,,E:\MUSIC\4 Ytube  2020 music preference\[とび森]AM11時[BGM].mp3
[DSM] Beach Town 15 minutes,pmfi,Beach Town,E:\MUSIC\4 Ytube  2020 music preference\Beach Town .mp3
"The Greatest Showman | ""Come Alive"" Lyric Video | Fox Family Entertainment",,,E:\MUSIC\4 Ytube  2020 music preference\Come Alive .mp3
★ Studio Ghibli Cello Collection,,,E:\MUSIC\4 Ytube  2020 music preference\Ghibli Cello Collection.mp3
"One Piece Opening 16 ""Hands Up!""  Full Version (HD)",,,E:\MUSIC\4 Ytube  2020 music preference\Hands Up!.mp3
Namie Amuro - Hope,One Piece,,E:\MUSIC\4 Ytube  2020 music preference\Hope.mp3
Hopes and Dreams,Undertale Ost: 087,,E:\MUSIC\4 Ytube  2020 music preference\Undertale Ost_ 087 - Hopes and Dreams.mp3
"Jump Up, Super Star!",Super Mario Odyssey,,"E:\MUSIC\4 Ytube  2020 music preference\Jump Up, Super Star!.mp3"
FROZEN | Let It Go Sing-along | Official Disney UK,,,E:\MUSIC\4 Ytube  2020 music preference\Let It Go.mp3
◆ Lupin III Theme '80 (Jazz Orchestra) live ver.,,,E:\MUSIC\4 Ytube  2020 music preference\◆ Lupin III Theme '80 .mp3
Lupin the Third (English Vocal version),,,E:\MUSIC\4 Ytube  2020 music preference\Lupin the Third (English Vocal version).mp3
,,,E:\MUSIC\4 Ytube  2020 music preference\Live While We're Young.mp3
,,,E:\MUSIC\4 Ytube  2020 music preference\Story of My Life.mp3
,,,E:\MUSIC\4 Ytube  2020 music preference\[とび森]PM0時[BGM].mp3
,,,E:\MUSIC\4 Ytube  2020 music preference\[とび森]PM1時[BGM].mp3
,,,E:\MUSIC\4 Ytube  2020 music preference\[とび森]PM2時[BGM].mp3
,,,E:\MUSIC\4 Ytube  2020 music preference\[とび森]PM3時[BGM].mp3
,,,E:\MUSIC\4 Ytube  2020 music preference\[とび森]PM4時[BGM].mp3
,,,E:\MUSIC\4 Ytube  2020 music preference\[とび森]PM5時[BGM].mp3
,,,E:\MUSIC\4 Ytube  2020 music preference\[とび森]PM6時[BGM].mp3
,,,E:\MUSIC\4 Ytube  2020 music preference\[とび森]PM8時[BGM].mp3
,,,E:\MUSIC\4 Ytube  2020 music preference\[とび森]PM9時[BGM].mp3
,,,E:\MUSIC\4 Ytube  2020 music preference\[とび森]PM10時[BGM].mp3
,,,E:\MUSIC\4 Ytube  2020 music preference\[とび森]PM11時[BGM].mp3
ラプソディー・イン・ブルー　バーンスタイン　1976,,,E:\MUSIC\4 Ytube  2020 music preference\rhapsody in blue.mp3
,,,E:\MUSIC\4 Ytube  2020 music preference\Rupin Piano.mp3
,,,E:\MUSIC\4 Ytube  2020 music preference\Summer .mp3
,,,E:\MUSIC\4 Ytube  2020 music preference\That Summer.mp3
,,,E:\MUSIC\4 Ytube  2020 music preference\Top of the world .mp3
TRIGGER★HAPPY,P*Light,,E:\MUSIC\4 Ytube  2020 music preference\P_Light - TRIGGER★HAPPY.mp3
,,,E:\MUSIC\4 Ytube  2020 music preference\We Are Never Ever Getting Back Together lyrics.mp3
Evangelion:2.0 You Can (Not) Advance (Thai & English Lyrics),"""The Final Decision We All Must Take""",,E:\MUSIC\4 Ytube  2020 music preference\The Final Decision We All Must Take - Evangelion_2.0 You Can (Not) Advance (Thai & English Lyrics).mp3
,,,E:\MUSIC\4 Ytube  2020 music preference\Yesterday Once More .mp3
異国情緒溢れる　アコーディオン音楽集【作業用BGM】民族音楽　街　怪しい　Accordion Music,,,E:\MUSIC\4 Ytube  2020 music preference\Accordion Music.mp3
踊りたくなる　楽しい　ケルト音楽集　【作業用BGM】Celtic Music,,,E:\MUSIC\4 Ytube  2020 music preference\Celtic Music.mp3
,,,E:\MUSIC\4 Ytube  2020 music preference\Pavarotti - Nessun Dorma 1994 (High Quality With Lyrics).mp3
Music: Heaven's Rock Seat,Etrian Odyssey II: Heroes of Lagaard,,E:\MUSIC\4 Ytube  2020 music preference\Etrian Odyssey II_ Heroes of Lagaard - Music_ Heaven's Rock Seat.mp3
Final Boss,Etrian Odyssey Nexus [世界樹の迷宮X],,E:\MUSIC\4 Ytube  2020 music preference\Etrian Odyssey Nexus [世界樹の迷宮X] - Final Boss.mp3
